Title,URL,Description,Channel Name,Views
"LIVE: Trump Triggers Global Trade War, Slaps Tariffs on India, China, EU | Vantage with Palki Sharma",https://www.youtube.com/watch?v=0Z0nNX5rObI,"LIVE: Trump Triggers Global Trade War, Slaps Tariffs on India, China, EU | Vantage with Palki Sharma US President Donald ...",Firstpost,214482
BREAKING NEWS: President Trump Unveils World-Shaking Reciprocal Tariffs At 'Liberation Day' Event,https://www.youtube.com/watch?v=BSASd4uNgTc,"President Trump holds an event at the White House to unveil his ""Liberation Day"" tariffs. Fuel your success with Forbes.",Forbes Breaking News,616897
Trump unveils sweeping global tariffs in watershed moment for world trade | BBC News,https://www.youtube.com/watch?v=Wjp8LwSSAY8,Donald Trump has announced sweeping tariffs on goods from countries around the world on what he called “Liberation Day”.,BBC News,1178992
"China-Taiwan WAR LIVE: Chinese Aircraft, Warships, and Coast Guard Vessels Surround Taiwan? War LIVE",https://www.youtube.com/watch?v=ZrSiOBmqTUA,"China-Taiwan WAR LIVE: Chinese Aircraft, Warships, and Coast Guard Vessels Surround Taiwan? War LIVE Alert: Taiwan says ...",WION,Unknown Views
"World Fires Back At Donald Trump As He Announces  ""Liberation Day"" Tariffs | N18G",https://www.youtube.com/watch?v=lGplUq5sbww,"World Fires Back At Donald Trump As He New Announces ""Liberation Day"" Tariffs | N18G US President Donald Trump's new ...",Firstpost,147153
"ABC World News Tonight with David Muir Full Broadcast - March 30, 2025",https://www.youtube.com/watch?v=xcjauip_4lA,Our weather team is tracking a long night ahead for more than 100 million Americans now under a severe weather threat.,ABC News,847489
LIVE: Pres. Trump announces imposition of new tariffs in 'Liberation Day' remarks,https://www.youtube.com/watch?v=sGjnJlp1lfk,ABC NEWS SPECIAL REPORT: Pres. Trump delivers remarks in the White House Rose Garden on the imposition of new tariffs.,ABC News,127908
Breaking: Elon Musk Stepping Back In Coming Weeks | World News | WION,https://www.youtube.com/watch?v=G95JFVzVVFE,Reports indicate that President Donald Trump has informed his inner circle that Elon Musk will be stepping back from his role in ...,WION,7464
"ABC World News Tonight with David Muir Full Broadcast - March 29, 2025",https://www.youtube.com/watch?v=ambtRssxGbw,"Britt Clennett reports from Bangkok, Thailand where rescuers are searching through the rubble for survivors of a 7.7 earthquake ...",ABC News,923814
Canada spared from reciprocal tariffs as Trump lays out sweeping plan | CBC News Special,https://www.youtube.com/watch?v=UXR7WbYRM6s,"President Donald Trump says the U.S. is moving forward with sweeping tariffs, with a base rate of 10 per cent for many countries ...",CBC News,343722
"ABC World News Tonight with David Muir Full Broadcast - March 31, 2025",https://www.youtube.com/watch?v=Uchi3bi6h2Q,Trevor Ault reports on the deadly storms that killed at least five people and left hundreds of thousands without power across the ...,ABC News,831768
Donald Trump set to announce sweeping global tariffs on US 'Liberation Day' | BBC News,https://www.youtube.com/watch?v=dduefDMgoUs,"US President Donald Trump is preparing to unveil sweeping tariffs, in what the White House has dubbed ""Liberation Day”. He will ...",BBC News,372441
"ABC World News Tonight with David Muir Full Broadcast - March 28, 2025",https://www.youtube.com/watch?v=xORm1IFEVc0,Britt Clennett has the latest on the urgent search for survivors after a catastrophic 7.7 magnitude earthquake rocked Southeast ...,ABC News,741860
"Canada will act with ""purpose and force"" to fight Trump tariffs, Carney vows",https://www.youtube.com/watch?v=K2Py8yaPwhs,"Canada will fight U.S. President Donald Trump's “Liberation Day” tariffs with targeted countermeasures, Canadian Prime Minister ...",Global News,90864
US Senate Vote LIVE: Some Republicans Vote To Halt Taxes on Canadian imports | Liberation Day | N18G,https://www.youtube.com/watch?v=cjJQ7e_fmSU,USA LIVE: Senate Democrats Force Vote To Block Canada Tariffs as Trump Puts Pressure on GOP | CNBC TV18 The Senate ...,CNBC-TV18,Unknown Views
Trump Accepts Iran’s Offer After Tehran’s Nuclear Ultimatum Amid Bombing Threat? Big Development,https://www.youtube.com/watch?v=pPw2dZYPRT0,US Iran Nuclear Program Deal | Trump Iran nuclear Deal | Trump On Iran Nuclear PRogram | Trump News | Trump Latest News ...,Hindustan Times,183782
Trump's 'Bomb' Threat: Iran Readies Missiles | World News | Gravitas,https://www.youtube.com/watch?v=QqA22koti6k,"Gravitas A day after US President Donald Trump issued an ultimatum to Iran, to agree on the nuclear deal or be bombed, Tehran ...",WION,154999
Trump Tariff Announcement LIVE: Trump Tariffs An Opportunity For India? | Vantage with Palki Sharma,https://www.youtube.com/watch?v=Ou4xKIDp9bw,"Trump Tariff Announcement LIVE: Trump Tariffs An Opportunity For India? | Vantage with Palki Sharma In a few hours from now, ...",Firstpost,222247
Why the World is Saying No to American Goods | Vantage with Palki Sharma | N18G,https://www.youtube.com/watch?v=bBT4DbSPLMI,Why the World is Saying No to American Goods | Vantage with Palki Sharma | N18G Why are Americans suddenly losing their ...,Firstpost,1637077
Trump Warns Of 'Bombing' Iran | Houthis Launch Missile At Israel | World DNA LIVE | World News WION,https://www.youtube.com/watch?v=pSzmYMaaClQ,Trump Warns Of 'Bombing' Iran | Houthis Launch Missile At Israel | World DNA LIVE | World News WION #trump #iran #houthi ...,WION,38128
